LATI;Tirana_International_Airport
UDYZ;Yerevan_Zvartnots_International_Airport
LOWG;Graz_International_Airport
LOWS;Salzburg_International_Airport
LOWW;Vienna_International_Airport
UBBB;Baku_International_Airport
UMMS;Minsk_International_Airport
EBBR;Brussels_International_Airport
EBLG;Liege_International_Airport
LQSA;Sarajevo_International_Airport
LQTZ;Tusla_International_Airport
LBBG;Burgas_International_Airport
LBSF;Sofia_International_Airport
LDDU;Dubrovnik_International_Airport
LDZA;Zagreb_International_Airport
LCLK;Larnaka_International_Airport
LCPH;Paphos_International_Airport
LKTB;Brno_International_Airport
LKPR;Prague_International_Airport
EKYT;Aalborg_International_Airport
EKCH;Copenhagen_International_Airport
EETN;Tallinn_International_Airport
EFHK;Helsinki_International_Airport
EFOU;Oulu_International_Airport
EFRO;Rovaniemi_International_Airport
LFBD;Bordeaux_International_Airport
LFLL;Lyon_International_Airport
LFML;Marseille_International_Airport
LFMN;Nice_International_Airport
LFPG;Paris_Charles_de_Gaulle_International_Airport
LFPO;Paris_Orly_International_Airport
LFST;Strasbourg_International_Airport
UGKO;Kutasi_International_Airport
UGTB;Tbilisi_International_Airport
EDDB;Berlin_Brandenburg_International_Airport
EDDT;Berlin_Tegel_International_Airport
EDDL;Dusseldorf_International_Airport
EDDF;Frankfurt_International_Airport
EDDH;Hamburg_International_Airport
EDDM;Munich_International_Airport
LGAV;Athens_International_Airport
LGSA;Chania_International_Airport
LGKR;Corfu_International_Airport
LGIR;Heraklion_International_Airport
LGKO;Kos_International_Airport
LGMK;Mykonos_International_Airport
LGRP;Rhodes_International_Airport
LGSR;Santorini_International_Airport
LGTS;Thessaloniki_International_Airport
LGZA;Zante_International_Airport
LHBP;Budapest_International_Airport
LHDC;Debrecen_International_Airport
EIDW;Dublin_International_Airport
EINN;Shannon_International_Airport
LIRQ;Florence_International_Airport
LIML;Milan_Linate_International_Airport
LIRN;Naples_International_Airport
LIRA;Ciampino_International_Airport
LICT;Trapani_International_Airport
LIPZ;Venice_International_Airport
LIPX;Verona_International_Airport
UAAA;Almaty_International_Airport
UACC;Astana_International_Airport
BKPR;Pristina_International_Airport
EVRA;Riga_International_Airport
EYKA;Kaunas_International_Airport
EYVI;Vilnius_International_Airport
ELLX;Luxembourg_International_Airport
LMML;Malta_International_Airport
LUKK;Chinsau_International_Airport
LYPG;Podgorica_International_Airport
LYTV;Tivat_International_Airport
EHAM;Amsterdam_International_Airport
EHEH;Eindhoven_International_Airport
EHRD;Rotterdam_International_Airport
LWSK;Skopje_International_Airport
ENGM;Oslo_International_Airport
ENTO;Sandefjord_International_Airport
ENZV;Stavanger_International_Airport
EPKK;Krakow_International_Airport
EPWA;Warsaw_International_Airport
LPPT;Lisbon_International_Airport
LROP;Bucharest_Henri_Coanda_International_Airport
USSS;Koltsovo_International_Airport
UUDD;Moscow_Domodedovo_International_Airport
UUEE;Moscow_Sheremetyevo_International_Airport
LYBE;Belgrade_Nikola_Tesla_International_Airport
LYNI;Nis_International_Airport
LZIB;Bratislava_International_Airport
LZKZ;Kosice_International_Airport
LJLJ;Ljubljana_International_Airport
LEBL;Barcelona_International_Airport
LEIB;Ibiza_International_Airport
LEMD;Madrid_Barajas_International_Airport
LEVC;Valencia_International_Airport
ESSA;Stockholm_Arlanda_International_Airport
ESSB;Stockholm_Bromma_International_Airport
LSGG;Geneva_International_Airport
LSZH;Zurich_International_Airport
LTAC;Ankara_Esenboga_International_Airport
LTFM;Istanbul_New_International_Airport
LTFJ;Istanbul_Sabiha_Gokcen_International_Airport
UKHH;Kharkiv_International_Airport
UKBB;Kiev_Boryspil_International_Airport
EGNX;East_Midlands_International_Airport
EGPH;Edinburgh_International_Airport
EGJJ;Jersey_International_Airport
EGNM;Leeds_Broadford_International_Airport
EGGP;Liverpool_International_Airport
EGLC;London_City_International_Airport
EGLL;London_Heathrow_International_Airport
EGCC;Manchester_International_Airport
