LATI;Tirana_International_Airport
LOWW;Vienna_International_Airport
LCLK;Larnaka_International_Airport
LKPR;Prague_International_Airport
EKCH;Copenhagen_International_Airport
LFPG;Paris_Charles_de_Gaulle_International_Airport
EDDB;Berlin_Brandenburg_International_Airport
LGAV;Athens_International_Airport
LGTS;Thessaloniki_International_Airport
LHBP;Budapest_International_Airport
LIRA;Ciampino_International_Airport
UUDD;Moscow_Domodedovo_International_Airport
LEMD;Madrid_Barajas_International_Airport
LTFJ;Istanbul_Sabiha_Gokcen_International_Airport
EGLL;London_Heathrow_International_Airport
